State Abv,2030 Projected Population
AL,5310856
AK,775262
AZ,8222246
AR,3153282
CA,42340111
CO,6658908
CT,3674293
DE,1102036
FL,24838259
GA,12048867
HI,1575911
ID,2175109
IL,12904084
IN,7134716
IA,3336193
KS,3048160
KY,4718087
LA,4770336
ME,1402763
MD,6640099
MA,7472481
MI,10211159
MN,6142822
MS,2988321
MO,6390460
MT,1188350
NE,2103349
NV,3719454
NH,1447902
NJ,9787020
NM,2231085
NY,20951169
NC,11658822
ND,880292
OH,12048762
OK,4210028
OR,4700987
PA,13344696
RI,1133431
SC,5722659
SD,963291
TN,7571270
TX,34119677
UT,3916252
VT,660905
VA,9421342
WA,8819501
WV,1761390
WI,6143017
WY,606936
DC,773616
PR,2974980
